User_ID,Onboarding_Fee,Subscribers,Sub_Revenue_Month,Sub_Revenue_Year,TrailGuide_Cut_Year
1,1000,1200,12000,144000,14400.0
2,1000,1200,12000,144000,14400.0
3,1000,1200,12000,144000,14400.0
4,1000,1200,12000,144000,14400.0
5,1000,1200,12000,144000,14400.0
6,1000,1200,12000,144000,14400.0
7,1000,1200,12000,144000,14400.0
8,1000,1200,12000,144000,14400.0
9,1000,1200,12000,144000,14400.0
10,1000,1200,12000,144000,14400.0
11,1000,700,7000,84000,8400.0
12,1000,700,7000,84000,8400.0
13,1000,700,7000,84000,8400.0
14,1000,700,7000,84000,8400.0
15,1000,700,7000,84000,8400.0
16,1000,700,7000,84000,8400.0
17,1000,700,7000,84000,8400.0
18,1000,700,7000,84000,8400.0
19,1000,700,7000,84000,8400.0
20,1000,700,7000,84000,8400.0
