Name,Segment,MonthlyUniques,EmailList,PaidSubs,GrossMRR,PlatformMRR
Alan Hirsch,Top,85000,120000,4500,45000,4500.0
Brad Brisco,Upper-Mid,15000,22000,900,9000,900.0
Josh Shepherd,Upper-Mid,20000,28000,1100,11000,1100.0
User 4,Long Tail,1051,2626,112,1120,112.0
User 5,Upper-Mid,11679,26087,1079,10790,1079.0
User 6,Long Tail,1178,3918,158,1580,158.0
User 7,Strong,23070,44328,1738,17380,1738.0
User 8,Mid,4108,10597,350,3500,350.0
User 9,Long Tail,2436,3732,157,1570,157.0
User 10,Upper-Mid,19654,19557,1114,11140,1114.0
User 11,Long Tail,2554,2153,158,1580,158.0
User 12,Mid,4636,7763,495,4950,495.0
User 13,Mid,4379,9112,324,3240,324.0
User 14,Mid,5408,10945,367,3670,367.0
User 15,Long Tail,2494,3381,187,1870,187.0
User 16,Upper-Mid,16201,16291,982,9820,982.0
User 17,Mid,6574,11066,392,3920,392.0
User 18,Mid,6885,6569,311,3110,311.0
User 19,Long Tail,2583,2685,70,700,70.0
User 20,Long Tail,2774,1913,147,1470,147.0
User 21,Mid,6603,8988,341,3410,341.0
User 22,Mid,4858,11490,368,3680,368.0
User 23,Long Tail,2399,1792,93,930,93.0
User 24,Mid,5002,7338,418,4180,418.0
User 25,Mid,7790,11242,476,4760,476.0
User 26,Mid,6804,8656,496,4960,496.0
User 27,Long Tail,1469,1631,130,1300,130.0
User 28,Mid,4271,7728,445,4450,445.0
User 29,Long Tail,1644,2370,177,1770,177.0
User 30,Mid,7745,11266,417,4170,417.0
User 31,Upper-Mid,12287,19040,1081,10810,1081.0
User 32,Mid,5076,10788,409,4090,409.0
User 33,Long Tail,1817,2982,106,1060,106.0
User 34,Long Tail,1283,3587,176,1760,176.0
User 35,Strong,21543,37185,1656,16560,1656.0
User 36,Long Tail,2622,3229,66,660,66.0
User 37,Mid,6440,9834,435,4350,435.0
User 38,Mid,6266,6094,474,4740,474.0
User 39,Long Tail,2396,3699,118,1180,118.0
User 40,Long Tail,1696,1956,125,1250,125.0
User 41,Mid,5858,6026,484,4840,484.0
User 42,Long Tail,1539,3550,95,950,95.0
User 43,Mid,4435,11122,376,3760,376.0
User 44,Long Tail,2039,3994,100,1000,100.0
User 45,Upper-Mid,12646,23837,1188,11880,1188.0
User 46,Long Tail,2086,1502,132,1320,132.0
User 47,Mid,4458,8973,378,3780,378.0
User 48,Upper-Mid,13946,29385,990,9900,990.0
User 49,Long Tail,1175,3490,67,670,67.0
User 50,Long Tail,2090,2015,82,820,82.0
User 51,Long Tail,2939,3751,92,920,92.0
User 52,Mid,7573,10969,408,4080,408.0
User 53,Long Tail,2902,3708,101,1010,101.0
User 54,Long Tail,1817,3029,162,1620,162.0
User 55,Long Tail,1924,1995,113,1130,113.0
User 56,Upper-Mid,15539,15344,1001,10010,1001.0
User 57,Mid,6410,7804,301,3010,301.0
User 58,Strong,40679,33858,1734,17340,1734.0
User 59,Strong,21029,51654,1572,15720,1572.0
User 60,Mid,5140,11480,424,4240,424.0
User 61,Upper-Mid,12167,26851,1178,11780,1178.0
User 62,Long Tail,2180,3436,112,1120,112.0
User 63,Long Tail,2653,3167,98,980,98.0
User 64,Strong,41593,58249,1862,18620,1862.0
User 65,Mid,5912,11972,313,3130,313.0
User 66,Long Tail,2323,1903,65,650,65.0
User 67,Mid,5389,6895,363,3630,363.0
User 68,Upper-Mid,18786,22350,771,7710,771.0
User 69,Mid,5140,9789,363,3630,363.0
User 70,Long Tail,1154,3315,190,1900,190.0
User 71,Strong,41369,65427,2356,23560,2356.0
User 72,Top,73056,149385,5738,57380,5738.0
User 73,Upper-Mid,16658,22956,946,9460,946.0
User 74,Upper-Mid,16570,29785,730,7300,730.0
User 75,Upper-Mid,10035,21396,835,8350,835.0
User 76,Long Tail,2607,3363,123,1230,123.0
User 77,Mid,7921,11984,500,5000,500.0
User 78,Mid,6942,9986,339,3390,339.0
User 79,Upper-Mid,13566,15958,996,9960,996.0
User 80,Long Tail,1124,2784,64,640,64.0
User 81,Strong,35623,62954,2441,24410,2441.0
User 82,Long Tail,1322,1732,180,1800,180.0
User 83,Strong,26089,34490,2109,21090,2109.0
User 84,Strong,48240,45414,1913,19130,1913.0
User 85,Upper-Mid,19333,19033,996,9960,996.0
User 86,Mid,6536,6671,407,4070,407.0
User 87,Long Tail,2157,3641,130,1300,130.0
User 88,Long Tail,1418,2786,111,1110,111.0
User 89,Mid,4536,11502,465,4650,465.0
User 90,Mid,5295,6594,302,3020,302.0
User 91,Mid,6306,6819,318,3180,318.0
User 92,Mid,6072,8172,333,3330,333.0
User 93,Long Tail,2804,1781,112,1120,112.0
User 94,Mid,4646,9589,439,4390,439.0
User 95,Long Tail,2252,3666,52,520,52.0
User 96,Long Tail,2135,2726,76,760,76.0
User 97,Long Tail,1275,2583,79,790,79.0
User 98,Long Tail,2520,3766,89,890,89.0
User 99,Mid,6477,7725,483,4830,483.0
User 100,Mid,6815,11195,367,3670,367.0
